artist_name,track_name,year,main_genre,spotify_song_id,spotify_artist_id,christian_signal
GfC Bern Worship,Vor Dim Thron,2016,,0ZmBg6SP4WLzWLquJoM12w,6rZCl9XOUIZzSPX0cZJDeN,worship
Hymns on Piano,A Shelter in the Time of Storm,2016,,5azepIQStH1kdHZAJesUw5,32DWM2tctxuDatAYWHjCtC,hymn
Hymns on Piano,A Shelter in the Time of Storm,2016,,5azepIQStH1kdHZAJesUw5,32DWM2tctxuDatAYWHjCtC,hymn
Hymns on Piano,And Can It Be That I Should Gain?,2017,,0NrJ6Vy2Fo1v4joSH6RCVL,32DWM2tctxuDatAYWHjCtC,hymn
Hymns on Piano,As the Sun Doth Daily Rise (Innocents),2015,,5OCnEsk9OezT9Xn2OFjInw,32DWM2tctxuDatAYWHjCtC,hymn
Hymns on Piano,"Blessed Assurance, Jesus Is Mine",2016,,34GgqEeuj18P0IvtpPcEvT,32DWM2tctxuDatAYWHjCtC,hymn
Hymns on Piano,Crown Him with Many Crowns (Diademata),2017,,1rPEsFiVh1BIWzJkwkxT9M,32DWM2tctxuDatAYWHjCtC,hymn
Hymns on Piano,Day By Day,2016,,4ecabK6Bib0oWHCVbbbw0Q,32DWM2tctxuDatAYWHjCtC,hymn
Hymns on Piano,Glorious Things of Thee Are Spoken,2015,,58tRTgMiUpoNBoFkza5Gw3,32DWM2tctxuDatAYWHjCtC,hymn
Hymns on Piano,God Will Take Care of You,2016,,1yb5hLBLZhTws6X4q7A1R9,32DWM2tctxuDatAYWHjCtC,hymn
Hymns on Piano,He Hideth My Soul (A Wonderful Savior Is Jesus My Lord),2016,,0qIZmDUvw9lg9AK0typbJj,32DWM2tctxuDatAYWHjCtC,hymn
Hymns on Piano,He Leadeth Me,2016,,2PpQKFpmGfOGWuewvZ5RPN,32DWM2tctxuDatAYWHjCtC,hymn
Hymns on Piano,"Holy, Holy, Holy! Lord God Almighty (Nicaea)",2015,,0cJDsFDw1xbDELeA5y3GRL,32DWM2tctxuDatAYWHjCtC,hymn
Hymns on Piano,I Must Tell Jesus,2016,,38g44V8HUP79tLUuuOZxdk,32DWM2tctxuDatAYWHjCtC,hymn
Hymns on Piano,I Need Thee Every Hour,2015,,4bHWlL0J6mgwgOZjbAwLBL,32DWM2tctxuDatAYWHjCtC,hymn
Hymns on Piano,In the Sweet By and By,2016,,3K5pBbqXPjb5EVHT9d6skz,32DWM2tctxuDatAYWHjCtC,hymn
Hymns on Piano,Jesus Is the Sweetest Name I Know,2016,,0jj92VxDfIO8ZUohomlD2M,32DWM2tctxuDatAYWHjCtC,hymn
Hymns on Piano,Jesus Is the Sweetest Name I Know,2016,,0jj92VxDfIO8ZUohomlD2M,32DWM2tctxuDatAYWHjCtC,hymn
Hymns on Piano,"Jesus, Savior, Pilot Me",2016,,4HSdQqfXkZ16QeOsKXFr8I,32DWM2tctxuDatAYWHjCtC,hymn
Hymns on Piano,"Jesus, the Very Thought of Thee",2016,,6bbLxTN7sDCBzPOfzoYQr8,32DWM2tctxuDatAYWHjCtC,hymn
Hymns on Piano,"Just As I Am, Without One Plea",2016,,0zUrxROxSXhRZJyvPbuzX6,32DWM2tctxuDatAYWHjCtC,hymn
Hymns on Piano,Now Thank We All Our God,2015,,3D7baiJsHKdO3eHbbswbe9,32DWM2tctxuDatAYWHjCtC,hymn
Hymns on Piano,Now Thank We All Our God,2015,,3D7baiJsHKdO3eHbbswbe9,32DWM2tctxuDatAYWHjCtC,hymn
Hymns on Piano,O for a Thousand Tongues to Sing (Azmon),2017,,6bKhk2YBS6DzDfq84wthwk,32DWM2tctxuDatAYWHjCtC,hymn
Hymns on Piano,O How I Love Jesus,2016,,0kRcqSd7TZrCW20mMZnZpO,32DWM2tctxuDatAYWHjCtC,hymn
Hymns on Piano,"Rejoice, Ye Pure In Heart (Marion)",2015,,5WrbPxbZNxhxoYatCImfv3,32DWM2tctxuDatAYWHjCtC,hymn
Hymns on Piano,"Savior, Like a Shepherd Lead Us",2016,,59ZZAM4GNtUhVY0qldWXAt,32DWM2tctxuDatAYWHjCtC,hymn
Hymns on Piano,Sing to the Lord of Harvest,2015,,4j4Mlk6wQ1YGpqB2tScdNs,32DWM2tctxuDatAYWHjCtC,hymn
Hymns on Piano,Tell Me the Story of Jesus,2016,,1CK9LllB8ODgnxWmQ7VfSw,32DWM2tctxuDatAYWHjCtC,hymn
Hymns on Piano,To God Be the Glory,2016,,2DqNCc4D8mvFiEgo2T8ng0,32DWM2tctxuDatAYWHjCtC,hymn
Hymns on Piano,We Plough the Fields and Scatter,2015,,6WP7sfX7gyMWphfdo7DWjh,32DWM2tctxuDatAYWHjCtC,hymn
Hymns on Piano,Wonderful Words of Life (Sing Them Over Again to Me),2016,,2sqpuZAtGyd7Omj9OVYtIQ,32DWM2tctxuDatAYWHjCtC,hymn
