file_name,file_path,title,author,key,verse,pre_chorus,chorus,bridge,full_progression
a strong tower i64637,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\a strong tower i64637,A strong tower,Clinton Utterbach,F,3,,,,3
a thousand times ive failed i2285,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\a thousand times ive failed i2285,A thousand times I've failed,"Joel Houston, Hillsong",C,4 1 5 6 4 1 5 6m 4 1 5 6m 4 1 5,4 1 6m 5 4 6m 5 2m,6m 4 1 5 6m 4 1 5 1 4 5 6m 4 5 4 5,,4 1 5 6 4 1 5 6m 4 1 5 6m 4 1 5 4 1 6m 5 4 6m 5 2m 6m 4 1 5 6m 4 1 5 1 4 5 6m 4 5 4 5
a very merry christmas i99149,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\a very merry christmas i99149,A Very Merry Christmas,Planetshakers,Eb,4 6m 5 1 4 6m 5 1 #4 4 6m 5 1 4 6m 5 1 4 6m 5 1 4 6m 5 1 #4 4 6m 5 1 4 6m 5 1 5,4 5 4 5,1 2m 4 #4 6m 1 4 #4 6m 1 4 1 2m 4 #4 1,,4 6m 5 1 4 6m 5 1 #4 4 6m 5 1 4 6m 5 1 4 6m 5 1 4 6m 5 1 #4 4 6m 5 1 4 6m 5 1 5 4 5 4 5 1 2m 4 #4 6m 1 4 #4 6m 1 4 1 2m 4 #4 1
a world undone i3296,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\a world undone i3296,A world undone,Dan Smith,C,4 6m 6 6m 1 1 4 6m 6 5,,1 1 6m 4 1 1 6m 4,5 6m 4,4 6m 6 6m 1 1 4 6m 6 5 1 1 6m 4 1 1 6m 4 5 6m 4
abba father i41965,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\abba father i41965,Abba Father,Shaun Groves,E,1 4 2m 5 1 4 2m 5,,1 4 2m 5 1 4 2m 5,,1 4 2m 5 1 4 2m 5 1 4 2m 5 1 4 2m 5
abba i25677,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\abba i25677,Abba,Bethel Music,Bb,1 4 1 4 1 1 4 1 1 4 1 1 4 1 2m 1 1 4 1 2m 1 4 1 4 2m 6m 5 2m 6m 5 7 7 2m 6m 5 4 2m 7 1 1 4 7 7 1 4 7,,,,1 4 1 4 1 1 4 1 1 4 1 1 4 1 2m 1 1 4 1 2m 1 4 1 4 2m 6m 5 2m 6m 5 7 7 2m 6m 5 4 2m 7 1 1 4 7 7 1 4 7
abide with me i1526,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\abide with me i1526,Abide With Me,"Monk, William Henry (1823-1889), Lyte, Henry F. (1793-1847)",Eb,#4 #4 5 5 #4 5,,,,#4 #4 5 5 #4 5
above all else i41967,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\above all else i41967,Above All Else,Vicky Beeching,D,1 6m 2m 1 4 b6 1,2m 1 4 b6 5,1 1 2m 5 1 1 2m b6 1,,1 6m 2m 1 4 b6 1 2m 1 4 b6 5 1 1 2m 5 1 1 2m b6 1
across the universe i48076,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\across the universe i48076,Across The Universe,Mosaic MSC,A,1 6m 5 7m 1 6m 5 7m 1 6m 5 7m 1 6m 5 1 6m 5 7m 1 6m 5 7m 1 6m 5 7m,,1 6m 3m 1 6m 3m,1 6m 3m 1 6m 3m,1 6m 5 7m 1 6m 5 7m 1 6m 5 7m 1 6m 5 1 6m 5 7m 1 6m 5 7m 1 6m 5 7m 1 6m 3m 1 6m 3m 1 6m 3m 1 6m 3m
adonai i1813,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\adonai i1813,Adonai,Hillsong,A,6m 1 4 1 4 5 6m 2 4 5 6m 2 4 1 4 5 1 2m 4 5 6m 5 1 4 5 6m 5 1 4 5 1 3m 4 5 5 4 1 4 5 6m 1 4 5 6m,,,,6m 1 4 1 4 5 6m 2 4 5 6m 2 4 1 4 5 1 2m 4 5 6m 5 1 4 5 6m 5 1 4 5 1 3m 4 5 5 4 1 4 5 6m 1 4 5 6m
adonai i46498,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\adonai i46498,Adonai,Awakening Worship,F#,1m 5m b6 b7 1m 5m b6 b7 b3 b3 3,,1m b3 b7 1m b7 1m b7 b6 b7 1m b3 b6,1m b3 b6 1m b3 b6 1m b3 b6 1m b3 b6,1m 5m b6 b7 1m 5m b6 b7 b3 b3 3 1m b3 b7 1m b7 1m b7 b6 b7 1m b3 b6 1m b3 b6 1m b3 b6 1m b3 b6 1m b3 b6
adoration i41968,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\adoration i41968,Adoration,"Peter Furler, Steve Taylor",E,6m 1 4 1 6m 1 4 5 6m 1 4 1 4 6m 1 4 1 6m 1 4 1 4 6m 1 4 5 6m 1 4 1 6m 1 4 1,,1 5 4 5 4 1,4 b7 4 b7,6m 1 4 1 6m 1 4 5 6m 1 4 1 4 6m 1 4 1 6m 1 4 1 4 6m 1 4 5 6m 1 4 1 6m 1 4 1 1 5 4 5 4 1 4 b7 4 b7
agnus dei i1910,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\agnus dei i1910,Agnus Dei,"Michael W. Smith, Mac Pawel",A,1 4 1 1 4 1 4,,5 1 5 1 4 1 6m 5 5 4 4 1 5 1 4 1 6m 5 5 4 5 1,,1 4 1 1 4 1 4 5 1 5 1 4 1 6m 5 5 4 4 1 5 1 4 1 6m 5 5 4 5 1
ah lord god i2735,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\ah lord god i2735,Ah Lord God,Kay Chance,D,1 4 1 4 1 5 1 4 1 1 5 1,,1 3m 4 5 4 1 1 4 1 5 1 6m 2m 5 1 6m 2m 5 1,,1 4 1 4 1 5 1 4 1 1 5 1 1 3m 4 5 4 1 1 4 1 5 1 6m 2m 5 1 6m 2m 5 1
alive again i47501,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\alive again i47501,Alive Again,Planetshakers,F#,1 3m 5 2 1 3m 5 2 2 2,,1 3m 5 2 1 5 3m 2 1 5 3m 2 1 5 3m 2 1 5 3m 2,1 3m 2 3m 3m 3m 3m,1 3m 5 2 1 3m 5 2 2 2 1 3m 5 2 1 5 3m 2 1 5 3m 2 1 5 3m 2 1 5 3m 2 1 3m 2 3m 3m 3m 3m
alive i47108,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\alive i47108,Alive,Kim Walker-Smith,D,1 5 1 5 1 1 6m 1 5 1 5 1 5 4 5 1,,1 3m 1 1 1 3m 1 1 1 1,1 3m 4,1 5 1 5 1 1 6m 1 5 1 5 1 5 4 5 1 1 3m 1 1 1 3m 1 1 1 1 1 3m 4
alive in you i46648,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\alive in you i46648,Alive In You,Jesus Culture,F,5 2 3m 7m 5 2 3m 7m 5 2 3m 7m 5 2 3m 7m 5 6 7m 6 5 2 3m 7m 5 2 3m 7m 5 2 3m 7m 5 2 3m 7m,,5 2 6 7m 5 2 7m 6 5 2 6 7m 5 2 7m 6 2,5 6 7m 3m 2 3m 2 5 6 7m 3m 2 3m 2,5 2 3m 7m 5 2 3m 7m 5 2 3m 7m 5 2 3m 7m 5 6 7m 6 5 2 3m 7m 5 2 3m 7m 5 2 3m 7m 5 2 3m 7m 5 2 6 7m 5 2 7m 6 5 2 6 7m 5 2 7m 6 2 5 6 7m 3m 2 3m 2 5 6 7m 3m 2 3m 2
all about you i47689,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all about you i47689,All about You,Planetshakers,D,1 5 4 1 5m 4 1 4 2m 1 5 2m 1 5 4 5 3m 4 5 3m,,1 1 4 2m 1 2m 2m 1 2m,4 5 3m 4 5,1 5 4 1 5m 4 1 4 2m 1 5 2m 1 5 4 5 3m 4 5 3m 1 1 4 2m 1 2m 2m 1 2m 4 5 3m 4 5
all around the world i41970,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all around the world i41970,All Around the World,Paul Oakley,A,2m 6m 1 1 2m 6m 5 2m 6m 5 6m 4 5 5 4 1 4 1 4 1 2m 6m 2m 6m 5 2m 6m 2m 4,,5 4 1 1 5 4 1 1 1 4 1 1 5 4 1 5 4 1 1 1 4 1 1,,2m 6m 1 1 2m 6m 5 2m 6m 5 6m 4 5 5 4 1 4 1 4 1 2m 6m 2m 6m 5 2m 6m 2m 4 5 4 1 1 5 4 1 1 1 4 1 1 5 4 1 5 4 1 1 1 4 1 1
