Song Title,Artist,Song Key,Intro,Pre-Chorus,Chorus,Bridge,Outro
You Are Near,Hillsong,E,       ,,                                ,            ,
You Saw Me,Hillsong,F,F C F C       ,,                                ,            ,
You're My Healer,Hillsong,C,C F Am F       ,,C Am G F C Am G F G Am G/B F G/B C F Am F                                ,Am G/B C Am G/B C Am G/B C C/E F Am G            ,
Beautiful Messes,Hillary Scott & The Scott Family,G,G D Em C G D Em C       ,,D Em C G D Em C G D Em C G                                ,D Em C G            ,
Love Remains,Hillary Scott & The Scott Family,G,G D Em C G D Em C       ,,G D Em C G D Em C                                ,G D Em C G D Em C            ,
Safe Haven,Hillary Scott & The Scott Family,A,       ,,A E F#m D E A F#m D A E F#m D A E F#m D                               ,A E F#m D A E F#m D            ,
Still,Hillary Scott & The Scott Family,E,E E A A       ,,E A B E C#m A E A E A E C#m A B C#m                               ,A B C#m A E A E A Bm E            ,
Still,Hillary Scott & The Scott Family,G,G A G D G A G D       ,,D A G A D A G D D A G A D A G D A Bm A G A D Bm G D G A G D G A G D                              ,G A Bm G D G D G A D            ,
The Faithful Love Of Jesus,Hillary Scott & The Scott Family,E,F# G#m E B F# G#m E B       ,,F# G#m E B F# G#m E B F# G#m E B F# G#m E B F# G#m E B F# G#m E B F# G#m E B F# G#m E B F# G#m E B F# G#m E B F# G#m E B F# G#m E B F# G#m E B F# G#m E B F# G#m E B F# G#m E F# G#m E B F# G#m E B                              ,F# G#m E B F# G#m E B F# G#m E B F# G#m E B F# G#m E B F# G#m E B F# G#m E B F# G#m E B            ,
The River Come On Down,Hillary Scott & The Scott Family,C,C Am F C Gb Am F C       ,,C Am F C Gb Am F C C Am F C Gb Am F C  D Bm G D A Bm G D D Bm G D A Bm G D                              ,Dm Am Gb Dm F C Gb C Gb F C Gb C F C Gb C C F C            ,
Thy Will,Hillary Scott & The Scott Family,Bm,Bm A D F#m G       ,,G Bm A Bm A F#m G Bm A Bm  G A Bm A F#m G A F#m G A Bm A D G A   G A D A D G A Bm F#m D G G A D A D G A D                           ,G A Bm F#m G A Bm F#m G A D A G A F#m D            ,
We March On,Hillary Scott & The Scott Family,C,       ,,F/A C/E G/B Am G/B F/A C/E G/B Am G F F/A C/E G/B Am G/B F/A C/E G/B Am G F F/A C/E G/B Am G/B F/A C/E G/B Am G F F/A C/E G/B Am G/B F/A C/E G/B Am G F                              ,F/A Am C/E G F/A Am C/E G            ,
Your Unfailing Love,Hillary Scott & The Scott Family,C,C F C G C       ,,Am F C Am Dm G C F C G C                                ,            ,
Your Unfailing Love,Hillary Scott & The Scott Family,C,C F C G C       ,,Am F C D7 G C F C G C                                ,            ,
Thy Will,Hillary Scott,Eb,Cm Bb) Gm Ab) Cm Bb) Gm Ab) Cm Bb) Gm Ab) Fm Bb Fm Bb Ab Bb Cm Eb/G Ab Bb Cm Bb) Gm Ab) Cm Bb) Gm Ab) Cm Bb) Gm Ab) Fm Bb Fm Ab Bb Ab Bb Cm Eb/G Ab Bb Cm Eb/G Ab Bb Cm Eb/G Ab Bb Ab Bb Cm Gm Ab Bb Cm Gm Ab Bb Cm Gm Ab Bb Cm Gm       ,,                                ,            ,
Thy Will,Hillary Scott,Eb,Cm Bb) Gm Ab) Cm Bb Gm Ab Cm Bb Gm Ab Fm Bb Fm Bb Ab Bb Cm Gm Ab Bb Cm Bb) Gm Ab) Cm Bb Gm Ab Cm Bb Gm Ab Fm Bb Fm Bb Ab Bb Cm Gm Ab Bb Cm Cm Gm Ab Bb Cm Gm Ab Bb Ab Bb Cm Gm Ab Bb Cm Gm Ab Bb Cm Gm Ab Bb Cm Gm       ,,Ab Bb Cm Gm                                ,            ,
who you say i am,hill song,G,G G C       ,, G D Em D C G G D Em D C G G D Em D C G   G D Em D C G G D Em D C G                           ,Em D/F# G C Em D/F# G C            ,
Have Your Way,Highlands Worship,G,G       ,,D G C D                                ,C D G C C D G C            ,
Place of Freedom,Highlands Worship,D,C F       ,, C Am F C C Am Am F G C C Am F                              ,G) C) G) F C G Dm F G           ,
Place of Freedom,Highlands Worship,D,C F       ,, C Am F C C Am Am F G C C Am F C                              ,G) F C G Dm F G            ,
Place of Freedom,Highlands Worship,C, C C Fmaj7 Fmaj7      ,, C Am F F C C Fmaj7 Fmaj7 C Am G F F C Am G F F                              ,G F C G Dm F G            ,
My Victory Behold,High Pointe Worship,F,       ,,F Gm Gm7 Dm Bb F Gm Gm7 Dm Bb                                , Dm Bb F C Dm Bb F C Dm Bb F C Dm Bb F C          ,
Heart Like Heaven Falling,hi,A,A F#m D A F#m D A       ,,A Asus4 E F#m D A E F#m A Asus4 E F#m D A E F#m D A Asus4 E F#m D A E F#m C#m D A Asus4 E F#m D A E F#m C#m D E F#m A D E F#m A D E F#m A D E F#m A  A Asus4 E F#m D A E F#m                           ,D E C#m D E C#m D A            ,
Every Praise,Hezekiah Walker,Db,Db Bbm7 Gb2 Absus       ,, Db Bbm7 Gb2 Absus Db Db Bbm7 Bbm7 Gb2 Absus Db D Bm7 G2 Asus D D Bm7 G2 Asus D Eb Cm7 Ab2 Bbsus Eb Eb Cm7 Ab2 Bbsus Eb Eb Cm7 Ab2 Bb Ab/C Bb/D Ab2 Bb Bb/D Eb                            ,Eb Cm7 Ab2 Fm7 Db Fm7 Db            ,
Every Praise,Hezekiah Walker,Db,       ,, Db Bbm7 Gb2 Absus Db Db Bbm7 Bbm7 Gb2 Absus Db D Bm7 G2 Asus D D Bm7 G2 Asus D Eb Cm7 Ab2 Bbsus Eb Eb Cm7 Ab2 Bbsus Eb Eb Cm7 Ab2 Bb Ab/C Bb/D Ab2 Bb Bb/D Eb                            ,Eb Cm7 Ab2 Fm7 Db Fm7 Db            ,
Grateful,Hezekiah Walker,Ab,Ab Bbm7 Ab/C Db  Ab Bbm7 Ab/C Db     ,,                                ,Ab/Eb Db/Eb Ab/C Fm7 Db2 Db/Eb            ,
Grateful,Hezekiah Walker,Ab,Ab Bbm7 Ab/C Db Ab Bbm7 Cm7 Eb7 Fm7  Ab Bbm7 Ab/C Db     ,,                                ,Ab Dbm7 Ab Gb Ab            ,
Breathe On Me,Heritage Singers,A,A B C#m B A E B E A E A E A E B A E A C#m B A B       ,,E B C#m A E B E B C#m A E B E A E A E A E B A E A C#m B A B E B C#m A E B E B C#m A E B E E B C#m B E B C#m B E B C#m B E B C#m B E B C#m B E B C#m B E B C#m A E B E B C#m A E B E                                ,            ,
Daystar,Heritage Singers,C,C Em Am F C G C C Em Am F G C C Em Am F C G C C7 F G C F G C C7 C Em Am F C G C C Em Am F G C C Em Am F C G C C7 F G C F G C C7 C Em Am F C G C       ,,                                ,            ,
Gotta Do Right,Heritage Singers,C,       ,,F C F G                                ,G F C G C            ,
Growing In Jesus,Heritage Singers,A,       ,,A D C#m D C#m F#m Bm E A                                ,            ,
I Am Not Ashamed,Heritage Singers,C,C Dm Fm Csus4 C Csus4 C       ,,C F/A G C G C F/A G C Cmaj7 Gm C C/G F Fm C G C G  C F/A G C G C F/A G C Cmaj7 Gm C C/G F Fm C G C G                              ,C Gm C C/G F Fm C G C G Db Abm Db Db/Ab Gb Gbm Db Gb Db Ab Db Gb Ab Db Db Ebm Gbm Db            ,
I Love Praising The Name Of The Lord,Heritage Singers,B,B F#7 E B       ,,B B7 E B B B7 F# F#7 B B7 E C# B F# E F#) B                                ,            ,
More Than Wonderful,Heritage Singers,D,       ,,                                ,            ,
Morning Prayer,Heritage Singers,E,       ,,                                ,            ,
Surely The Presence,Heritage Singers,C,       ,,C Em F Dm G7 C F G7 C Em F Dm G7 Dm G7 C                                ,            ,
I Speak Jesus,Here be Lions,C,C C Am7 Am7       ,,G C/E F C G C/E F C                                , C C Am F F C C C C/D C/E Am G/B C F F C          ,
Tomorrows A Brand New Day,Herb,B,B       ,,F# A E B F# G# A                                ,            ,
My God Given Right,Helloween,C,       ,Bb C F Bb C G,Bb C F Bb C G Bb C Dm Bb C Dm Bb C Am Dm Gm C C Bb C F Bb C G Bb C Dm Bb C Dm Bb C Am Dm Gm C Bb C Dm Bb C Dm Bb C Am Dm Gm C C                            ,C C Dm Dm C C Dm Dm C C Dm Dm C C Dm Dm            ,
Twilight Of The Gods,Helloween,Em,       ,,                                ,            ,
May God Protect Your Home,Hefner,Bb,       ,,                                ,            ,
Everybody will be happy over there,Hee-Haw Quartet,G,       ,,                                ,            ,
God is Still God,Heather William,C,       ,,C A G F C C A G C A G F C C A G F C C A G F G C A G F C C A G F C A G C                              ,            ,
God Of Heaven,Heather Sorenson,G,       ,,                                ,            ,
Exalt You,Heather Clark,C,       ,,                                ,            ,
He Knows My Name,He Knows My Name,D,       ,,G D A Asus A G D A D G D A Bm G A D                                ,            ,
36 Days,Hawk Nelson,A,       ,,A E D E A A E D A E D E A D A E A A E D E A A E D A E D E A D A E A                               ,            ,
A Million Miles Away,Hawk Nelson,D,D A G D A G       ,,D A G A A Bm F#m G D A G A Bm F#m G D A G A D A G A D A G A Bm F#m G D A D A G A Bm F#m G D A                               ,A Bm G A Bm G A Bm G D A G A A Bm F#m G A            ,
Alive,Hawk Nelson,Dm,Dm C Bb       ,,Dm C Bb Dm C Bb                                ,Bb Dm F Gm Bb Dm C Bb D F C Bb Dm C            ,
Arms Around Me,Hawk Nelson,G,G D C D       ,D#m D C D,D#m D C D G D C D G D C D                               ,G D C D G D C D            ,
California,Hawk Nelson,A,       ,A5,A5 A5 D5 E5 F#5 D5 E5 A5 D5 E5 F#5 D5 E5 A5 A5 D5 E5 F#5 D5 E5 A5 D5 E5 F#5 D5 E5  A5 D5 A/C# A5 D5 E5 E5 A5 D5 A/C# E5 A5                          ,            ,
Crazy Love,Hawk Nelson,Am,Am G/B C G/B F G       ,,Am G/B C C G/B F F G Am G/B C C G/B F F G Am G/B C                                ,Am F C C G F C Am G F G/B C C Am G G F F G/B C C G/B Am G F G/B C C Am G G            ,
Diamonds,Hawk Nelson,C,       ,Am G F F Am G,Am G F F Am G F C Dm Am F C G F C Dm Am F C F C Dm Am F C G F C Dm Am F C F C Dm Am F C G F C Dm Am F Am F C Am G F C Am G F C Am G F Am F C                             ,C C C C C C            ,
Done Holding On,Hawk Nelson,Am,       ,,Am C F G Am C F G Am C F G Am C F G Am C F G Am C F G Am C F G Am C F G Am C F G                              ,            ,
Drops In the Ocean,Hawk Nelson,G,G Bm D G D A       ,G D A,G D A G D A Bm G D A Bm G D A G D A G Bm A G Bm A G D A Bm G D A Bm G D A G D A G D A Bm G D A Bm G D A G D A G D A                            ,G D A G D A            ,
Eggshells,Hawk Nelson,C,C Am F       ,C5 F5 C5 G5 F5 C5 B5 Bb5 A5 D5 Bb5 C5,C5 F5 C5 G5 F5 C5 B5 Bb5 A5 D5 Bb5 C5 C5 G5 A5 F5 C5 F5 C5 G5 F5 C5 B5 Bb5 A5 D5 Bb5 C5 C5 G5 A5 F5 C5 A5 G5 C5 G5 A5 F5 C5 G5 D5 E5 C5 E5 F5 C5 D5 E5 C5 F5 E5 D5 F5 D5 C5 G5 A5 F5 C5 A5 G5 C5 G5 A5 F5 C5 G5 C F                            ,            ,
Every Beat Of My Broken Heart,Hawk Nelson,G,G       ,D,D G Em C G C D G D G Em C G C D G G Em C G C D Am G G Em C C G C D G                            ,Am C G G D Am Am C G D G            ,
Every Little Thing,Hawk Nelson,A,A D A E A D D E A)       ,A D A E A D A E,A D A E A D A E A D A E A D A E A D A E A D A E B E B F# B E B F# E)                             ,D E D D E A E F# E E F# B           ,
Everything You Ever Wanted,Hawk Nelson,E,       ,,C Am F G C Am F G C Am F G C Am F G C Am F G C Am F G F C Am F G C Am F G C Am F G C Am F G C Am F G                            ,F Am G F F Am G F           ,
Faithful,Hawk Nelson,E,E G#m A       ,C#m B,C#m B A E B C#m A E B A E B C#m A E B A E B C#m B A E B C#m A E B A E B C#m A E B A E B C#m B A E B A E B C#m A E B A E B C#m A E B A E B C#m B A E B A E B C#m B A E B                            ,A E B C#m B A E B C#m E F# G#m B            ,
Fighting For,Hawk Nelson,D,D Asus4 Bm A G D Asus4 Bm A G D Asus4 Bm A G G D Asus4 Bm A G G Asus4 Bm D G G A Bm D A G A Bm D A G A Bm D A D D Asus4 Bm A G D Asus4 Bm A G G Asus4 Bm D G G A Bm D A G A Bm D A G A Bm D A D D Bm D Bm G A D Asus4 Bm A G G Asus4 Bm D G G A Bm D A G A Bm D A G A Bm D A D G A D       ,,                                ,            ,
Fourteen,Hawk Nelson,Em,       ,,                                ,            ,
Friend Like That,Hawk Nelson,Bm,Bm G A D       ,,D A Bm G D A Bm G D A Bm G D A Bm G A G D A Bm G D A Bm G D A Bm G D A Bm G Bm G A D D A Bm G D A Bm G D A Bm G D A Bm G A G D A Bm G D A Bm G D A Bm G D A Bm G A G D A Bm G D A Bm G D A Bm G D A Bm G  D A Bm G D A Bm G D A Bm G D A Bm G A G                          ,G G C D G G A D G G C D            ,
From Underneath,Hawk Nelson,A,       ,,F#m D A E F#m D A E F#m D A E                               ,            ,
Head On Collision,Hawk Nelson,E,E B F# E F# B F# E F# B F# E F# B F# E F#       ,B F# E B F# E F# B F# E F# B F# E F# B F# E F# B F# E A,B F# E B F# E F# B F# E F# B F# E F# B F# E F# B F# E A A                               ,G# B            ,
I Heard The Bells On Christmas Day,Hawk Nelson,G,G A Bm A       ,, D A Bm A/C# D A G A Bm A/C# D A Bm A/C# D A D A Bm A/C# D A                              ,            ,
I Still Miss You,Hawk Nelson,G,       ,,Cadd9 D Em G Cadd9 G Cadd9 D Cadd9 D Em G Cadd9 G D Cadd9 Cadd9 D Em G Cadd9 G Cadd9 D Cadd9 D Em G Cadd9 G D Cadd9                               ,G Cadd9 Em D G Cadd9 Em D            ,
Its Over,Hawk Nelson,B,       ,,                                ,            ,
Lest We Forget,Hawk Nelson,D,D G Bm G       ,,D A A Bm F#m G D A Bm F#m G D                                ,            ,
Letters To The President,Hawk Nelson,G,G D C       ,Em7 D C2 Em7 D C2 D,Em7 D C2 Em7 D C2 D G C2 Em7 D C2 D G C2 Em7 D C2 D G C2 Em7 D C2 D G C2 Em7 D C2 D G A7 G/B C2 D G A7 G/B C2 Cm                             ,            ,
Live Life Loud,Hawk Nelson,E,E G# C# A E G# C# A       ,E F# G# A E F# C# A,E F# G# A E F# C# A E G# C# A E G# C# A E G# C# A E G# C# A E F# G# A E F# C# A E G# C# A E G# C# A E E G# C# A E G# C# A E G# C# A E G# C# A                            ,A B G# A A B G# A A B G# A E G# C# A E G# C# A            ,
Live Like Your Loved,Hawk Nelson,C,       ,C F Am G C F Am G,C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G  C F Am G C F Am G C F Am G C F Am G                          ,C F Am G C F Am G            ,
Live Like Your Loved,Hawk Nelson,C,       ,C F Am G C F Am G,C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G                             ,C F Am G C F Am G            ,
Live Like Youre Loved,Hawk Nelson,Eb,Eb Bb       ,Eb Ab Cm Bb Eb Ab Cm Bb,Eb Ab Cm Bb Eb Ab Cm Bb Eb Ab Cm Bb Eb Ab Cm Bb Eb Ab Cm Bb Eb Ab Cm Bb Eb Ab Cm Bb Eb Ab Cm Bb Eb Ab Cm Bb Eb Ab Cm Bb Eb Ab Cm Bb Eb Ab Cm Bb Eb Ab Cm Bb  Eb Ab Cm Bb Eb Ab Cm Bb Eb Ab Cm Bb Eb Ab Cm Bb                          ,Eb Ab Cm Bb Eb Ab Cm Bb            ,
Long Ago,Hawk Nelson,G,G D Em C       ,Em C,Em C G D Em C G D Em C G D Em C G D Em C G D C Em C G D Em C G D Em C G D Em C G D Em C G D C G D Em C G D Em C G D Em C G D Em C G D C                            ,Em D C D Em D C Cm            ,
Made,Hawk Nelson,Am,Am F Am F       ,Em F G,Em F G C F Am G C F Am G Am F C/E G C F C/E G Am F Am G                               ,Am G C F Am G C F            ,
My Next Breath,Hawk Nelson,G,G D2/G D       ,,G D Em7 C G Em7 D G D Em7 C G Em7 D                                ,C G D Em7 C G D            ,
Never Enough,Hawk Nelson,Ab,Ab B F Gb A C F       ,,F C F C F C C A F C F C F C C A A C F A A C F  F G C A F C F C F C C A                              ,F C F C F C C A F C F C C A            ,
Ode To Lord Stanley,Hawk Nelson,G,       ,,                                ,            ,
One Little Miracle,Hawk Nelson,D,       ,G A Bm A D,G A Bm A D G A D Bm G A Bm G A D Bm G A D G A Bm A D G A D Bm G A Bm G A D Bm G A D G A D Bm G A Bm G A D Bm G A D                            ,G D Bm A D A            ,
One Thing I Have Left,Hawk Nelson,Em,       ,,                                ,            ,
Only You,Hawk Nelson,A,A D A D       ,,D A E D A E F#m E A D E A A F#m D A F#m D D A E D A E F#m E A D E A A F#m D A F#m D                               ,            ,
Outside The Lines,Hawk Nelson,G,G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D C G Em C D       ,,G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D C G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D                              ,            ,
Shaken,Hawk Nelson,C,       ,Am G Am G,Am G Am G C G C G C C G C G Am Bm C Am Bm C Bb C                              ,            ,
Sold Out,Hawk Nelson,Em,Em Em       ,Em G C B,Em G C B Em G C A2 B Em G C A2 B Em G C B Em G C A2 B Em G C A2 B Em G C B  Em G C A2 B Em G C A2 B                          ,C D Em A2 B            ,
Somebody Else,Hawk Nelson,G,       ,G D C G D C,G D C G D C G Em D Em D C Em D Em C C D G G D C G D C G D Em D C Em D Em C C D G G D Em D C Em D Em C C D G                            ,            ,
Someone Else Before,Hawk Nelson,E,       ,D A Bm D A Bm D A Bm A,D A Bm D A Bm D A Bm A D A Bm G D A Bm G D A Bm G D A Bm G D D A Bm D A Bm D A Bm A D A Bm G D A Bm G D A Bm G D A Bm G D D A Bm G D A Bm G D A Bm G D A Bm G D                            ,            ,
Something On My Mind,Hawk Nelson,C,       ,,                                ,            ,
Stagefright,Hawk Nelson,G,       ,,G2 Dsus4 Em C2 G2 Dsus4 Em C2 G2 Dsus4 Em C2 G Dsus4 Em C2 G Dsus4 Em C2                               ,            ,
Straight Line,Hawk Nelson,D,D D D Dsus D D D Dsus       ,,G D A Bm G D A G D A Bm D G D A Bm G D A G D A Bm D D A G D A G D A Bm G D A Bm D                              ,D D D D            ,
Take Me,Hawk Nelson,G,       ,,Em G D C5 B5 A5 Em G D C2  G D C2 G G D C2 D Em D C2 D C2                              ,            ,
The Final Toast,Hawk Nelson,G,G Em G Em       ,,G D C G D G D C G D G                                ,            ,
The Meaning Of Life,Hawk Nelson,Bm,Bm G D A Bm G A Bm G D A Bm G D A Bm G D A Bm G A G D A Bm G D A Bm G D A Bm G D A Bm G D A Bm G A Bm G A Bm G D A G G D A G D A Bm       ,,                                ,            ,
Things We Go Through,Hawk Nelson,A,A D E  A E F#m D     ,A E F#m D A E F#m D,A E F#m D A E F#m D A E F#m D A E F#m D                               ,A E F#m D A E F#m D A E F#m D A E            ,
Through The Fire,Hawk Nelson,C,C G F C G F C G F C G F Am G F C G F C G F C G F C G F C G F Am G F C G F C G F Am G F C G F C G F F C G F Am C F F Am C F F Am C F F Am C F F C G F C G F C G F C G F Am G F C G F C G F C G F C G F F C G F C       ,,                                ,            ,
Words,Hawk Nelson,Dm,Dm C F Dm C F       ,C Dm Bb,C Dm Bb F Dm Bb F F Dm Bb F F Dm Bb F                              ,Dm C F Bb Dm C F Bb            ,
Your Love Is A Mystery,Hawk Nelson,F,F5 Bb5 G5 Bb5  F5 Bb5 G5 Bb5     ,,C5 D5 Bb5 C5 D5 Bb5 Bb5 F5 C5 D5 Bb5 F5 C5 Bb5                               ,D5 Bb5 G5 C5            ,
Zero,Hawk Nelson,C,       ,,                                ,C G F G C G F G G C C G F G C G F G C G G C C            ,
Ragtime,Havalina Rail Co,C,       ,,                                ,            ,
Beautifully Broken,Harvest Sound,Am,       ,G F G F,G F G F C F Am G C F Am G                               ,            ,
King of Kings,Harvest Sound,A,       ,,A E F#m D                                ,A E Bm D A E Bm D A E Bm D A E Bm D            ,
All That Is In Me,"Harvest - Jerry Williams, Ed Kerr",D,       ,,B G D A B G A D D G B G A D G B A D D G B G A D G B A B D                                ,            ,
Army Of The Lord,"Harvest - Jerry Williams, Ed Kerr",C,       ,,C G E E E C A7 D E E D C G C A E A E G E F E E G D Em C D G E E E F E D E E G C G C G D A E G D E C G A D E E E E E E C G C A D E F E F E E G D Em C D G E F E F E D C F C F C E E E E F C D G F E F G E F G E E D F D D C G Am F G C E F A                                ,            ,
Behold God,"Harvest - Jerry Williams, Ed Kerr",A,       ,,                                ,            ,
Wedding Day,"Harvest - Jerry Williams, Ed Kerr",A,       ,,A E7 D A D E7 A E7 D A D E7 A A D E7 A D E7 A D E7 A D E7 A E7 D A D E7 A E7 D A D E7 A                               ,            ,
Battles,Harry And Alfie,Em,       ,,                                ,            ,
Kingdom Come,Harbourside Worship,C,       ,,F C Am F F C Am F                                ,F C Am G F C Am G F            ,
You Will Come Through,"Hannah McClure, Bethel Music",G,G C D Em G C D Em       ,,G Bm C Am G G Bm C Am G G Bm C Am G G Bm C Am G G Bm C Am G G Bm C Am G G Bm C Am G G Bm C Am G G Bm C Am G G Bm C Am G G Bm C Am G G Bm C Am G G Bm C Am G G Bm C Am G G Bm C Am G G Bm C Am G                            ,Am C G D Am C G D Am C G D Am C G D/F# Am C G D Am C G D            ,
Sweet Loving Word,Hank Locklin,G,       ,,                                ,            ,
Turn To You,Hallelujah Project,B,       ,, B F# B E B F# G#m E B F# B E B F# G#m E                              ,E B G#m F# E B G#m F# E B            ,
A Bed That Breathes With Him,Half-handed Cloud,A,       ,,                                ,            ,
Everywhere That I go,Isreal Houghton,G,G D D G C C G/B C D G C C G/B C D/B G       ,D/F# G Am7 Bm C D/C C,D/F# G Am7 Bm C D/C C G C C G/B C D G C C G/B C D G C C G/B Em7 D/F# G Am7 G/B C                               ,Em7 G Em7 G            ,
Turn It Around,Isreal Houghton,D,       ,,                                ,Gmaj9 Bm7 Am9 Gmaj9 Em/D Cmaj7/D G/A            ,
We Worship You,Isreal Houghton,A,       ,,                                ,            ,
Wondering Why You’re Here,Isreal Houghton,A,A/E       ,, E C#m7 F#m7 B A E/G# C#m7 F#m7 B A E C#m7 F#m7 B A E/G# C#m7 F#m7 B E/G# A E/G# F#m Am9 B E/G# C#m F#m B E C#m7 F#m7 B E A9 A G# F# E D7 C#m7 Cmaj7 E F#/A# A D7                             ,Asus2 Am9 C/A) D/A            ,
I Will Search For You,Israel & New Breed,E,       ,,E Bsus4 C#m Asus2 E Bsus C#m E Bsus4 C#m Asus2 E Bsus C#m E Bsus4 C#m Asus2 Asus2 Asus2 Asus2 Asus/F# Bsus4 Asus2                               ,            ,
Speechless,Israel & New Breed,A,A2 E B A2 E B       ,,E Bm7 A F# E Bm7 A F# A E B A E B F#                                ,D2 A2 E E E D G# A G# D2 A2 E E E D G# A G# A2/F# A D A E F#/E E D A E B A G# D B A G# A D E F# E           ,
It Amazes Me (Upper Room Live),Isla Vista Worship,C,       ,,C F C F C F C F                                ,C F C F C F C F            ,
Surrender,Isla Vista Worship,G,Am C Em G       ,,C G D Am Em                                ,C G D Am Em            ,
God That Saves,Iron Bell Music,B,       ,,E B F# G#m F# E B F# E B F# G#m F# E B F#                                ,E B F#            ,
Sons and Daughters,Iron Bell Music,D,       ,G D A Bm G D A Bm,G D A Bm G D A Bm D A Bm G D A Bm G D A Bm G D A Bm G                               ,G D A Bm G D A            ,
Cover Me,Invasion Band,G,       ,,                                ,            ,
A Place At Your Altar,Integritys Hosanna,D,       ,,                                ,            ,
Awesome God,Insyderz,B,B C# F#       ,,D A E F# D A B C# F#                                ,            ,
Buddy Boy,Insyderz,C,C C C G G G F F F G C C C G G G F F F G C C C G G G F F F G C C C G G G F F F G       ,,C G F G C G F G                                ,            ,
Carnival,Insyderz,D,Em G D7 C Bm E Bm D       ,,                                ,            ,
Enthos,Insyderz,C,C Ab C E E B) C Ab Eb Bb C Ab Eb Bb C Ab Eb Bb C Ab Eb C       ,,                                ,            ,
House For Sale,Insyderz,A,A C#m D E B D F# G       ,,                                ,            ,
Lord I Lift Your Name On High,Insyderz,G,       ,,E                                ,            ,
Rain Song,Inspiral Carpets,F,F C F C F C G       ,,G E D D F E E G E D E F D E E G E D D F E E G E D E F D E E G E D D F E E G E D E F D E E                              ,            ,
Proud,Influence Music feat. Melody Noel,Ab,G Gsus G Gsus       ,Gsus G D Gsus G Em Gsus G Em D,Gsus G D Gsus G Em Gsus G Em D G Gsus G Gsus Em D G Gsus G D Gsus G Em Gsus G Em D G Gsus G Gsus Em D G G C G C Em D G                            ,G Gsus G Gsus Em D G            ,
Rejoice,Influence Music & Whitney Medina,Am,Am7 F C G Am7 F C G Am7 F C G       ,,Am7 F C G Am7 F C G Am7 F C G Am7 F C  Am7 F C G Am7 F C G Am7 F C G Am7 F C Am7 F C G Am7 F C G Am7 F C G Am7 F C   Am7 F C G Am7 F C G Am7 F C G Am7 F C Am7 F C G Am7 F C C/E F G Am7 F C G Am7 F C                           ,C Am7 F C C Am7 F C  F C F Am7 F C/E G          ,
Touching Heaven,Influence Music & Whitney Medina,F,F Bb F Dm C       ,F/A Bb Dm C F/A Bb Dm C C,F/A Bb Dm C F/A Bb Dm C C Bb F Dm C Bb F Dm C Bb F Dm C F/A Bb Dm C F/A Bb Dm C C Bb F Dm C Bb F Dm C Bb F Dm C Bb F Dm C  Bb F Dm C Bb F Dm C Bb F Dm C Bb F Dm C                           ,Bb F Dm C Bb F Dm C Bb F Dm C Bb F Bb C Bb F Bb C            ,
Kingdom,Influence Music & Michael Ketterer,Dm,       ,Dm Bb F C Dm Bb F/A C,Dm Bb F C Dm Bb F/A C C Dm Bb F C C Dm Bb F C                               ,Dm Bb F/A C C Dm Bb F/C C           ,
I Amc,Influence Music & Melody Noel feat. William Matthews,G,G C G C       ,G G Am C C,G G Am C C G G C C Dsus Em D/F# G C C G Am G G Dsus Am C C G G C C Dsus Em D/F# G C C Am G G C C Dsus Em D/F# G C C G Am                            , Em G C D Am Em G C D Em G C D Am Em G C D Em G C D Em G C D Am         ,
Mistakes,Influence Music & Melody Noel,G,G D Em C       ,G Am G/B,G Am G/B C D Em G/B C Am Em G C D G Em G Am G/B   C D Em G/B C Am Em G C D Em G/B C D G      G D Em C G/B D Em C G D Em C G Bm Em C                     ,C D G/B Em D C D G/B Em D C D G/B Em D C D G/B Em D C D            ,
Breathe,Influence Music & Matt Gilman,E,E F#m A C#m E F#m C#m       ,,C#m A E C#m A B C#m A E/G# A B E E F#m A C#m E F#m C#m  C#m A E C#m A B C#m A E/G# A B E C#m A E C#m A B C#m A E/G# A B E E F#m A C#m C#m A E C#m A B C#m A E/G# A B E C#m A E C#m A B C#m A E/G# A B E E F#m A C#m                             ,            ,
City In The Sky,Influence Music & Matt Gilman,E,E B B/D# E E B F#/D# G#m F#       ,,                                ,E B B/D# E E B F#/D# G#m F# E B B7/D# G#m E B F#/D# G#m F#           ,
Why Not Now,Influence Music & Matt Gilman,A,A Bm F#m D       ,Bm A E Bm A E,Bm A E Bm A E A Bm F#m D A Bm F#m D A Bm A E Bm A E   A Bm F#m D A Bm F#m D A A Bm F#m D A Bm F#m D E      A Bm F#m D A Bm F#m D A                     ,E F#m D A E F#m D A            ,
Honest,Influence Music,D,       ,G Asus,G Asus D D D G D G Bm Asus G G D D D G D G Bm Asus G G E E E A E A C#m Bsus E E E A E A C#m Bsus E E E A E A C#m Bsus E A E A                             ,G Am D F# G Em7 A            ,
