Track name,Artist name,Album,Playlist name,Type,ISRC
"Hillsong Worship · Joel Houston - The Freedom We Know (Live)","","","Worship","Playlist",""
"Michael Gungor - Friend Of God","","","Worship","Playlist",""
"Hillsong UNITED - From the Inside Out (Live)","","","Worship","Playlist",""
"Kutless - Give Us Clean Hands","","","Worship","Playlist",""
"Christ For The Nations Worship · Klaus - Glory Come Down (Live)","","","Worship","Playlist",""
"Hillsong UNITED - God Is Great (Live)","","","Worship","Playlist",""
"Kutless - God Of Wonders","","","Worship","Playlist",""
"Delirious? - God's Romance","","","Worship","Playlist",""
"Todd Agnew - Grace Like Rain","","","Worship","Playlist",""
"Fee - Happy Day","","","Worship","Playlist",""
"Gaither Vocal Band - He Will Carry You (A Cappella)","","","Worship","Playlist",""
"Kari Jobe - Healer","","","Worship","Playlist",""
"Matt Redman - The Heart Of Worship","","","Worship","Playlist",""
"Jeremy Camp - Here I Am To Worship","","","Worship","Playlist",""
"David Crowder Band - Here Is Our King","","","Worship","Playlist",""
"Chris Tomlin - Holy Is The Lord (Arriving Album Version)","","","Worship","Playlist",""
"Hillsong UNITED · Brooke Ligertwood - Hosanna","","","Worship","Playlist",""
"Paul Baloche - Hosanna","","","Worship","Playlist",""
"Seventh Day Slumber - How Great Is Our God","","","Worship","Playlist",""
"Me In Motion - You Move Me","","","Worship","Playlist",""
"Flyleaf - How He Loves","","","Worship","Playlist",""
"Kutless - Hungry","","","Worship","Playlist",""
"Seventh Day Slumber - I Can Only Imagine","","","Worship","Playlist",""
"Enter The Worship Circle · 100 Portraits · Waterdeep · Don Chaffer · Lori Chaffer - I Could Run Away [Remastered 2017]","","","Worship","Playlist",""
"William McDowell - I Give Myself Away (Live)","","","Worship","Playlist",""
"Chris Tomlin - I Lift My Hands","","","Worship","Playlist",""
"Chris Tomlin - Indescribable","","","Worship","Playlist",""
"Skillet - Rest","","","Worship","Playlist",""
"Newsboys - It Is You","","","Worship","Playlist",""
"Visionary - I Walk By Faith","","","Worship","Playlist",""
"Skillet - Jesus Be Glorified (Live)","","","Worship","Playlist",""
"Jeff Deyo · Unknown - Jesus, I Surrender (Live)","","","Worship","Playlist",""
"Hillsong UNITED - King of Majesty (Live)","","","Worship","Playlist",""
"Hillsong UNITED · Brooke Ligertwood - Lead Me to the Cross","","","Worship","Playlist",""
"Pocket Full Of Rocks - Let It Rain","","","Worship","Playlist",""
"Pocket Full Of Rocks - Song to the King (AC Mix)","","","Worship","Playlist",""
"Pocket Full Of Rocks - The Welcome Song","","","Worship","Playlist",""
"Pocket Full Of Rocks - Let the Worshippers Arise","","","Worship","Playlist",""
"Matt Redman - Lord, Let Your Glory Fall","","","Worship","Playlist",""
"Rita Springer - Worth It All","","","Worship","Playlist",""
"Brian Doerksen - Light The Fire Again","","","Worship","Playlist",""
"Christ For The Nations Worship · Rick Pino - Love Song (Live)","","","Worship","Playlist",""
