id,song_id,source_type,source_url,external_source_id,license_notes,fetched_at,raw_payload_path,confidence,created_at
638,601,merged_csv_import,,5293,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:00
680,641,merged_csv_import,,5631,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:00
689,646,merged_csv_import,,5694,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:00
690,647,merged_csv_import,,5714,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:00
711,665,merged_csv_import,,5890,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:00
719,673,merged_csv_import,,5951,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:00
732,686,merged_csv_import,,6013,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:01
742,695,merged_csv_import,,240345,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:01
743,695,merged_csv_import,,6060,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:01
812,759,merged_csv_import,,6642,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:01
849,795,merged_csv_import,,7038,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:02
860,806,merged_csv_import,,7158,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:02
862,808,merged_csv_import,,7166,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:02
866,812,merged_csv_import,,7200,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:02
869,815,merged_csv_import,,7233,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:02
875,820,merged_csv_import,,7263,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:02
879,824,merged_csv_import,,7312,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:02
880,824,merged_csv_import,,526176,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:02
881,825,merged_csv_import,,7314,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:02
891,835,merged_csv_import,,163473,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:02
892,835,merged_csv_import,,47341,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:02
893,835,merged_csv_import,,7346,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:02
894,835,merged_csv_import,,39466,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:02
895,835,merged_csv_import,,407899,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:02
896,835,merged_csv_import,,23312,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:02
915,854,merged_csv_import,,7471,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:03
947,885,merged_csv_import,,115980,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:03
948,885,merged_csv_import,,176289,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:03
949,885,merged_csv_import,,111761,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:03
950,885,merged_csv_import,,35113,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:03
951,885,merged_csv_import,,7696,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:03
